 "LAT","LON","SFCWind (m/s)"   
  -89.00    0.00  5.5820
  -89.00    1.00  5.6645
  -89.00    2.00  6.0233
  -89.00    3.00  6.2974
  -89.00    4.00  6.5128
  -89.00    5.00  6.6496
  -89.00    6.00  6.7811
  -89.00    7.00  6.9145
  -89.00    8.00  7.0307
  -89.00    9.00  7.1365
  -89.00   10.00  7.1632
  -89.00   11.00  7.1911
  -89.00   12.00  7.2295
  -89.00   13.00  7.4437
  -89.00   14.00  7.7568
  -89.00   15.00  8.2664
  -89.00   16.00  8.6639
  -89.00   17.00  8.8145
  -89.00   18.00  8.4065
  -89.00   19.00  7.7027
  -89.00   20.00  6.1973
  -89.00   21.00  4.5772
  -89.00   22.00  2.7441
  -89.00   23.00  1.6586
  -89.00   24.00  0.9699
  -89.00   25.00  2.2489
  -89.00   26.00  3.5008
  -89.00   27.00  4.7065
  -89.00   28.00  5.9524
  -89.00   29.00  7.2143
  -89.00   30.00  8.4704
  -89.00   31.00  9.6216
  -89.00   32.00 10.6090
  -89.00   33.00 11.2763
  -89.00   34.00 11.7940
  -89.00   35.00 11.9529
  -89.00   36.00 12.0038
  -89.00   37.00 11.9056
  -89.00   38.00 11.6339
  -89.00   39.00 11.2832
  -89.00   40.00 10.7156
  -89.00   41.00 10.0825
  -89.00   42.00  9.3661
  -89.00   43.00  8.6700
  -89.00   44.00  7.9947
  -89.00   45.00  7.4310
  -89.00   46.00  6.9150
  -89.00   47.00  6.4548
  -89.00   48.00  6.0079
  -89.00   49.00  5.5544
  -89.00   50.00  5.0397
  -89.00   51.00  4.4881
  -89.00   52.00  3.8979
  -89.00   53.00  3.3377
  -89.00   54.00  2.8324
  -89.00   55.00  2.5653
  -89.00   56.00  2.5673
  -89.00   57.00  2.8278
  -89.00   58.00  3.4336
  -89.00   59.00  4.1179
  -89.00   60.00  4.8768
  -89.00   61.00  5.5599
  -89.00   62.00  6.1758
  -89.00   63.00  6.6035
  -89.00   64.00  6.9758
  -89.00   65.00  7.2458
  -89.00   66.00  7.5070
  -89.00   67.00  7.7613
  -89.00   68.00  7.9714
  -89.00   69.00  8.1256
  -89.00   70.00  8.1184
  -89.00   71.00  7.9497
  -89.00   72.00  7.6642
  -89.00   73.00  7.2186
  -89.00   74.00  6.7526
  -89.00   75.00  6.2680
  -89.00   76.00  5.8162
  -89.00   77.00  5.3863
  -89.00   78.00  4.9739
  -89.00   79.00  4.5617
  -89.00   80.00  4.1475
  -89.00   81.00  3.8226
  -89.00   82.00  3.5525
  -89.00   83.00  3.4252
  -89.00   84.00  3.2719
  -89.00   85.00  3.0512
  -89.00   86.00  2.7845
  -89.00   87.00  2.4929
  -89.00   88.00  2.5776
  -89.00   89.00  2.8486
  -89.00   90.00  3.4903
  -89.00   91.00  4.1476
  -89.00   92.00  4.8063
  -89.00   93.00  4.8524
  -89.00   94.00  4.6102
  -89.00   95.00  3.8324
  -89.00   96.00  2.7118
  -89.00   97.00  1.4822
  -89.00   98.00  1.7065
  -89.00   99.00  2.4095
  -89.00  100.00  3.8936
  -89.00  101.00  5.0802
  -89.00  102.00  6.1194
  -89.00  103.00  6.6602
  -89.00  104.00  7.0675
  -89.00  105.00  7.2748
  -89.00  106.00  7.3545
  -89.00  107.00  7.3793
  -89.00  108.00  7.2880
  -89.00  109.00  7.1523
  -89.00  110.00  6.9553
  -89.00  111.00  6.7389
  -89.00  112.00  6.5317
  -89.00  113.00  6.4614
  -89.00  114.00  6.4837
  -89.00  115.00  6.6240
  -89.00  116.00  6.6477
  -89.00  117.00  6.5670
  -89.00  118.00  5.9940
  -89.00  119.00  5.2223
  -89.00  120.00  4.2265
  -89.00  121.00  3.3848
  -89.00  122.00  2.6778
  -89.00  123.00  2.5290
  -89.00  124.00  2.6257
  -89.00  125.00  2.9778
  -89.00  126.00  3.4888
  -89.00  127.00  4.0206
  -89.00  128.00  4.4952
  -89.00  129.00  4.8861
  -89.00  130.00  5.1965
  -89.00  131.00  5.4923
  -89.00  132.00  5.8133
  -89.00  133.00  6.2449
  -89.00  134.00  6.7253
  -89.00  135.00  7.2471
  -89.00  136.00  7.6709
  -89.00  137.00  8.0114
  -89.00  138.00  8.1042
  -89.00  139.00  8.0116
  -89.00  140.00  7.7734
  -89.00  141.00  7.5029
  -89.00  142.00  7.2821
  -89.00  143.00  7.2299
  -89.00  144.00  7.1260
  -89.00  145.00  6.9848
  -89.00  146.00  6.3335
  -89.00  147.00  5.5381
  -89.00  148.00  4.4733
  -89.00  149.00  3.6192
  -89.00  150.00  2.8998
  -89.00  151.00  2.8237
  -89.00  152.00  2.8591
