"LAT","LON","SFCWind (m/s)"
-88.73,   0.00,  5.5822
-88.73,   2.81,  5.5809
-88.73,   5.62,  5.5783
-88.73,   8.44,  5.5745
-88.73,  11.25,  5.5696
-88.73,  14.06,  5.5637
-88.73,  16.88,  5.5571
-88.73,  19.69,  5.5497
-88.73,  22.50,  5.5417
-88.73,  25.31,  5.5333
-88.73,  28.12,  5.5246
-88.73,  30.94,  5.5156
-88.73,  33.75,  5.5065
-88.73,  36.56,  5.4974
-88.73,  39.38,  5.4885
-88.73,  42.19,  5.4797
-88.73,  45.00,  5.4712
-88.73,  47.81,  5.4630
-88.73,  50.62,  5.4554
-88.73,  53.44,  5.4482
-88.73,  56.25,  5.4416
-88.73,  59.06,  5.4356
-88.73,  61.88,  5.4303
-88.73,  64.69,  5.4257
-88.73,  67.50,  5.4219
-88.73,  70.31,  5.4188
-88.73,  73.12,  5.4165
-88.73,  75.94,  5.4150
-88.73,  78.75,  5.4144
-88.73,  81.56,  5.4145
-88.73,  84.38,  5.4153
-88.73,  87.19,  5.4170
-88.73,  90.00,  5.4194
-88.73,  92.81,  5.4225
-88.73,  95.62,  5.4262
-88.73,  98.44,  5.4306
-88.73, 101.25,  5.4356
-88.73, 104.06,  5.4411
-88.73, 106.88,  5.4471
-88.73, 109.69,  5.4534
-88.73, 112.50,  5.4601
-88.73, 115.31,  5.4669
-88.73, 118.12,  5.4740
-88.73, 120.94,  5.4811
-88.73, 123.75,  5.4882
-88.73, 126.56,  5.4951
-88.73, 129.38,  5.5018
-88.73, 132.19,  5.5081
-88.73, 135.00,  5.5141
-88.73, 137.81,  5.5194
-88.73, 140.62,  5.5241
-88.73, 143.44,  5.5279
-88.73, 146.25,  5.5309
-88.73, 149.06,  5.5329
-88.73, 151.88,  5.5338
-88.73, 154.69,  5.5334
-88.73, 157.50,  5.5317
-88.73, 160.31,  5.5286
-88.73, 163.12,  5.5241
-88.73, 165.94,  5.5179
-88.73, 168.75,  5.5102
-88.73, 171.56,  5.5008
-88.73, 174.38,  5.4896
