"LAT","LON","SFCWind (m/s)"
-89.00,   1.25,  2.5805
-89.00,   3.75,  2.5811
-89.00,   6.25,  2.5815
-89.00,   8.75,  2.5868
-89.00,  11.25,  2.5956
-89.00,  13.75,  2.5962
-89.00,  16.25,  2.6050
-89.00,  18.75,  2.6054
-89.00,  21.25,  2.6057
-89.00,  23.75,  2.6062
-89.00,  26.25,  2.5890
-89.00,  28.75,  2.5890
-89.00,  31.25,  2.6477
-89.00,  33.75,  2.6479
-89.00,  36.25,  2.6476
-89.00,  38.75,  2.6475
-89.00,  41.25,  2.5808
-89.00,  43.75,  2.5804
-89.00,  46.25,  2.5396
-89.00,  48.75,  2.5391
-89.00,  51.25,  2.5386
-89.00,  53.75,  2.5380
-89.00,  56.25,  2.5245
-89.00,  58.75,  2.5240
-89.00,  61.25,  2.4869
-89.00,  63.75,  2.4866
-89.00,  66.25,  2.4862
-89.00,  68.75,  2.4861
-89.00,  71.25,  2.4777
-89.00,  73.75,  2.4777
-89.00,  76.25,  2.4214
-89.00,  78.75,  2.4217
-89.00,  81.25,  2.4221
-89.00,  83.75,  2.4223
-89.00,  86.25,  2.4228
-89.00,  88.75,  2.4233
-89.00,  91.25,  2.4885
-89.00,  93.75,  2.4891
-89.00,  96.25,  2.4896
-89.00,  98.75,  2.4902
-89.00, 101.25,  2.4906
-89.00, 103.75,  2.4912
-89.00, 106.25,  2.4479
-89.00, 108.75,  2.4483
-89.00, 111.25,  2.4485
-89.00, 113.75,  2.4487
-89.00, 116.25,  2.4490
-89.00, 118.75,  2.4489
-89.00, 121.25,  2.4286
-89.00, 123.75,  2.4285
-89.00, 126.25,  2.4279
-89.00, 128.75,  2.4275
-89.00, 131.25,  2.4270
-89.00, 133.75,  2.4266
-89.00, 136.25,  2.5108
-89.00, 138.75,  2.5103
-89.00, 141.25,  2.5099
-89.00, 143.75,  2.5091
-89.00, 146.25,  2.5087
-89.00, 148.75,  2.5084
-89.00, 151.25,  2.4455
-89.00, 153.75,  2.4452
-89.00, 156.25,  2.4452
-89.00, 158.75,  2.4448
-89.00, 161.25,  2.4448
-89.00, 163.75,  2.4449
-89.00, 166.25,  2.4019
-89.00, 168.75,  2.4024
-89.00, 171.25,  2.4028
-89.00, 173.75,  2.4030
-89.00, 176.25,  2.4036
-89.00, 178.75,  2.4042
-89.00, 181.25,  2.3475
-89.00, 183.75,  2.3484
-89.00, 186.25,  2.3491
-89.00, 188.75,  2.3498
-89.00, 191.25,  2.3467
-89.00, 193.75,  2.3472
-89.00, 196.25,  2.4602
-89.00, 198.75,  2.4607
-89.00, 201.25,  2.4843
-89.00, 203.75,  2.4844
-89.00, 206.25,  2.4975
-89.00, 208.75,  2.4973
-89.00, 211.25,  2.7525
-89.00, 213.75,  2.7591
-89.00, 216.25,  2.7590
-89.00, 218.75,  2.7588
-89.00, 221.25,  2.7591
-89.00, 223.75,  2.6018
-89.00, 226.25,  2.7573
-89.00, 228.75,  2.7581
-89.00, 231.25,  2.7579
-89.00, 233.75,  2.7574
-89.00, 236.25,  2.7571
-89.00, 238.75,  2.7570
-89.00, 241.25,  2.6128
-89.00, 243.75,  2.6125
-89.00, 246.25,  2.6122
-89.00, 248.75,  2.6121
-89.00, 251.25,  2.6121
-89.00, 253.75,  2.6120
-89.00, 256.25,  2.5367
-89.00, 258.75,  2.5368
-89.00, 261.25,  2.5368
-89.00, 263.75,  2.5371
-89.00, 266.25,  2.5374
-89.00, 268.75,  2.5378
-89.00, 271.25,  2.4250
-89.00, 273.75,  2.4255
-89.00, 276.25,  2.4261
-89.00, 278.75,  2.4268
-89.00, 281.25,  2.4273
-89.00, 283.75,  2.4276
-89.00, 286.25,  2.4280
-89.00, 288.75,  2.4285
-89.00, 291.25,  2.4287
-89.00, 293.75,  2.4290
-89.00, 296.25,  2.4289
-89.00, 298.75,  2.4288
-89.00, 301.25,  2.4288
-89.00, 303.75,  2.4288
-89.00, 306.25,  2.4284
-89.00, 308.75,  2.4281
-89.00, 311.25,  2.4281
-89.00, 313.75,  2.4276
-89.00, 316.25,  2.4272
-89.00, 318.75,  2.4267
-89.00, 321.25,  2.4260
-89.00, 323.75,  2.4253
-89.00, 326.25,  2.4248
-89.00, 328.75,  2.4239
-89.00, 331.25,  2.4461
-89.00, 333.75,  2.4456
-89.00, 336.25,  2.4453
-89.00, 338.75,  2.4450
-89.00, 341.25,  2.4444
-89.00, 343.75,  2.4439
-89.00, 346.25,  2.5429
-89.00, 348.75,  2.5429
-89.00, 351.25,  2.5431
-89.00, 353.75,  2.5434
-89.00, 356.25,  2.5438
-89.00, 358.75,  2.5203
-87.00,   1.25,  3.5482
-87.00,   3.75,  3.6468
-87.00,   6.25,  3.3743
-87.00,   8.75,  2.9841
-87.00,  11.25,  3.0926
-87.00,  13.75,  3.2305
-87.00,  16.25,  3.1628
-87.00,  18.75,  3.1062
-87.00,  21.25,  3.0407
-87.00,  23.75,  2.9890
-87.00,  26.25,  2.8657
-87.00,  28.75,  2.7836
-87.00,  31.25,  2.7567
-87.00,  33.75,  2.6967
-87.00,  36.25,  2.7007
-87.00,  38.75,  2.7483
-87.00,  41.25,  2.7632
-87.00,  43.75,  2.7380
-87.00,  46.25,  2.6528
-87.00,  48.75,  2.6719
-87.00,  51.25,  2.6321
-87.00,  53.75,  2.5875
-87.00,  56.25,  2.5953
-87.00,  58.75,  2.6176
-87.00,  61.25,  2.5793
-87.00,  63.75,  2.5790
-87.00,  66.25,  2.5464
-87.00,  68.75,  2.5937
-87.00,  71.25,  2.6832
-87.00,  73.75,  2.6768
-87.00,  76.25,  2.5687
-87.00,  78.75,  2.6222
-87.00,  81.25,  2.7356
-87.00,  83.75,  2.7657
-87.00,  86.25,  2.6931
-87.00,  88.75,  2.6625
-87.00,  91.25,  2.7332
-87.00,  93.75,  2.7329
-87.00,  96.25,  2.7895
-87.00,  98.75,  2.8227
-87.00, 101.25,  2.8593
-87.00, 103.75,  2.9512
-87.00, 106.25,  2.9093
-87.00, 108.75,  2.9468
-87.00, 111.25,  3.0562
-87.00, 113.75,  3.1666
-87.00, 116.25,  3.2007
-87.00, 118.75,  3.2804
-87.00, 121.25,  3.4833
-87.00, 123.75,  3.5585
-87.00, 126.25,  3.5184
-87.00, 128.75,  3.4717
-87.00, 131.25,  3.4400
-87.00, 133.75,  3.4497
-87.00, 136.25,  3.4907
-87.00, 138.75,  3.4167
-87.00, 141.25,  3.2746
-87.00, 143.75,  3.1655
-87.00, 146.25,  3.1539
-87.00, 148.75,  3.1507
-87.00, 151.25,  3.0665
-87.00, 153.75,  3.0407
-87.00, 156.25,  3.0167
-87.00, 158.75,  2.9845
-87.00, 161.25,  2.9943
-87.00, 163.75,  2.9206
-87.00, 166.25,  2.7028
-87.00, 168.75,  2.6470
-87.00, 171.25,  2.7315
-87.00, 173.75,  2.7963
-87.00, 176.25,  2.8250
-87.00, 178.75,  2.9097
-87.00, 181.25,  2.9408
-87.00, 183.75,  2.7849
-87.00, 186.25,  2.6746
-87.00, 188.75,  2.7190
-87.00, 191.25,  2.7137
-87.00, 193.75,  2.6347
-87.00, 196.25,  2.6015
-87.00, 198.75,  2.6123
-87.00, 201.25,  2.7046
-87.00, 203.75,  2.6521
-87.00, 206.25,  2.6018
-87.00, 208.75,  2.5423
-87.00, 211.25,  2.7406
-87.00, 213.75,  2.8349
-87.00, 216.25,  2.7584
-87.00, 218.75,  2.5276
-87.00, 221.25,  2.4676
-87.00, 223.75,  2.3663
-87.00, 226.25,  2.4909
-87.00, 228.75,  2.4502
-87.00, 231.25,  2.4499
-87.00, 233.75,  2.4181
-87.00, 236.25,  2.3742
-87.00, 238.75,  2.3986
-87.00, 241.25,  2.2963
-87.00, 243.75,  2.3007
-87.00, 246.25,  2.2596
-87.00, 248.75,  2.2742
-87.00, 251.25,  2.2796
-87.00, 253.75,  2.2982
-87.00, 256.25,  2.2392
-87.00, 258.75,  2.2307
-87.00, 261.25,  2.1921
-87.00, 263.75,  2.2044
-87.00, 266.25,  2.1841
-87.00, 268.75,  2.1261
-87.00, 271.25,  1.9770
-87.00, 273.75,  1.9990
-87.00, 276.25,  2.0110
-87.00, 278.75,  2.0135
-87.00, 281.25,  2.0042
-87.00, 283.75,  2.0298
-87.00, 286.25,  2.0666
-87.00, 288.75,  2.1222
-87.00, 291.25,  2.1983
-87.00, 293.75,  2.3071
-87.00, 296.25,  2.4402
